G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
27,35.4,6.5,14.8,0.438,4.2,9.1,0.461,2.3,5.7,0.4,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4,2.5,20.1,
33,33.9,6,10.3,0.578,5.6,9.1,0.615,0.4,1.2,0.3,4.1,5.8,0.694,2.7,5.9,8.7,2.4,0.8,2.9,2.2,1.8,16.4,
28,28.4,5,10,0.502,3.9,6.7,0.588,1.1,3.4,0.33,2.9,3.8,0.762,0.6,4.9,5.5,4.5,1.9,0.3,3,2.6,14,
24,24.8,4.1,8.1,0.503,3.6,6.5,0.561,0.5,1.7,0.275,1.7,2.8,0.621,1.5,2.5,4,4.1,1.5,0.5,2.5,2.2,10.3,scottie
32,33.8,5.2,12.1,0.427,3.3,7,0.478,1.8,5.1,0.358,4.7,5.8,0.812,2,3.8,5.8,1.6,1,0.7,1.6,2.3,16.8,Moses Moody
27,25.5,4.1,9.1,0.449,3.6,7.4,0.492,0.5,1.8,0.271,2.6,3.7,0.703,1.1,2.4,3.5,2.5,1.1,0.4,2.6,2.4,11.3,Keon Johnson
135,27.2,4,8.3,0.484,2.1,3.5,0.583,2,4.8,0.411,1.5,1.8,0.827,1,3.1,4,1.4,0.7,0.3,1,1.6,11.5,Corey Kispert
53,19.7,2.3,4.1,0.553,1.9,3,0.627,0.4,1.1,0.345,1.2,1.8,0.677,1.5,2.5,4,0.5,0.7,1,1.1,2.3,6.2,Kai Jones
55,31.2,4.3,9.3,0.465,2.9,5,0.583,1.4,4.3,0.325,2,2.4,0.835,0.8,5.3,6.1,2,1.3,0.8,1.4,2.4,12,Franz Wagner
20,27.9,3.8,10.2,0.374,2.7,6.2,0.427,1.2,4,0.291,2,2.5,0.796,0.5,4.1,4.6,2.2,0.9,0.6,2.9,2.4,10.7,Ziaire Williams
43,27.9,5.3,11.5,0.456,4.2,8.1,0.513,1.1,3.4,0.32,3.4,4.2,0.802,1.6,3.1,4.7,1.5,0.9,0.2,2.1,2.4,15,James Bouknight
