Rk,Pk,Tm,Player,BR,Act Draft,Act Draft 2
1,1,LAC,Blake Griffin,Carlos Boozer,Karl Malone*,Antonio McDyess
2,2,MEM,Hasheem Thabeet,Samuel Dalembert,Dikembe Mutombo*,None
3,3,OKC,James Harden,Brandon Roy,Manu Ginobili,Brandon Roy
4,4,SAC,Tyreke Evans,Kendall Gill,Jamal Crawford,Larry Hughes
5,5,MIN,Ricky Rubio,Jason Williams,Jose Calderon,Steve Nash
6,6,MIN,Jonny Flynn,Tony Delk,Damon Stoudamire,None
7,7,GSW,Stephen Curry,Chauncey Billups,Mahmoud Abdul-Rauf,None
8,8,NYK,Jordan Hill,Joe Smith,Chris Bosh,None
9,9,TOR,DeMar DeRozan,Jason Richardson,Vince Carter,None
10,10,MIL,Brandon Jennings,Terrell Brandon,Kenny Anderson,None
11,11,NJN,Terrence Williams,Josh Howard,Isaiah Rider,Corey Maggette
12,12,CHA,Gerald Henderson,John Salmons,Latrell Sprewell,Dahntay Jones
13,13,IND,Tyler Hansbrough,Tyrone Hill,Eduardo Najera,Mark Madsen
14,14,PHO,Earl Clark,Vladimir Radmanovic,Marvin Williams,Boris Diaw
1,1,WAS,John Wall,Derrick Rose,Derrick Rose,Russell Westbrook
2,2,PHI,Evan Turner,Brandon Roy,Brandon Roy,
3,3,NJN,Derrick Favors,Al Jefferson,Al Horford,
4,4,MIN,Wesley Johnson,Vince Carter,Eddie Johnson,Shawn Marion
5,5,SAC,DeMarcus Cousins,Kendrick Perkins,Eddy Curry,Benoit Benjamin
6,6,GSW,Ekpe Udoh,Dikembe Mutombo*,Jerome Moiso,Chris Gatling
7,7,DET,Greg Monroe,Chris Webber,Lamar Odom,
8,8,LAC,Al-Farouq Aminu,DeJuan Blair,Marvin Williams,Thaddeus Young
9,9,UTA,Gordon Hayward,Stephen Jackson,Luke Jackson,Mike Dunleavy Jr.
10,10,IND,Paul George,Kevin Durant,Scottie Pippen*,
11,11,NOH,Cole Aldrich,Emeka Okafor,Joel Przybilla,Eric Montross
12,12,MEM,Xavier Henry,James Posey,Jim Jackson,
13,13,TOR,Ed Davis,Al Horford,P.J. Brown,Alan Henderson
14,14,HOU,Patrick Patterson,Carl Landry,Buck Williams,
1,1,CLE,Kyrie Irving,Chris Paul,Mike Conley,Chris Paul
2,2,MIN,Derrick Williams,Michael Beasley,David West,
3,3,UTA,Enes Kanter,Al Horford,Al Horford,
4,4,CLE,Tristan Thompson,Tyrus Thomas,Charles Smith,
5,5,TOR,Jonas Valanciunas,Vlade Divac,Spencer Hawes,
6,6,WAS,Jan Vesely,Andrei Kirilenko,Mike Dunleavy,
7,7,SAC,Bismack Biyombo,Hasheem Thabeet,Ian Mahinmi,
8,8,DET,Brandon Knight,Chauncey Billups,Jason Terry,
9,9,CHA,Kemba Walker,Derrick Rose,Tim Hardaway,
10,10,MIL,Jimmer Fredette,Steve Kerr,J.J. Redick,
11,11,GSW,Klay Thompson,Mike Miller,Marco Belinelli,
12,12,UTA,Alec Burks,Brandon Roy,Eddie Jones,
13,13,PHO,Markieff Morris,Rasheed Wallace,Drew Gooden,
14,14,HOU,Marcus Morris,Al Harrington,Al Harrington,
1,1,NOH,Anthony Davis,Kevin Garnett,Kevin Garnett,
2,2,CHA,Michael Kidd-Gilchrist,Gerald Wallace,Gerald Wallace,
3,3,WAS,Bradley Beal,Eric Gordon,Eric Gordon,
4,4,CLE,Dion Waiters,Rodney Stuckey,Dominique Jones,
5,5,SAC,Thomas Robinson,Udonis Haslem,Derrick Williams,
6,6,POR,Damian Lillard,Reggie Miller*,Jay Williams,
7,7,GSW,Harrison Barnes,Danny Granger,Glen Rice,
8,8,TOR,Terrence Ross,Rudy Gay,Eddie Jones,
9,9,DET,Andre Drummond,Kwame Brown,Amar'e Stoudemire,
10,10,NOH,Austin Rivers,Monta Ellis,O.J. Mayo,
11,11,POR,Meyers Leonard,Darko Milicic,Robin Lopez,
12,12,HOU,Jeremy Lamb,Reggie Miller*,Reggie Miller*,
13,13,PHO,Kendall Marshall,Jason Kidd,Mark Jackson,
14,14,MIL,John Henson,Samuel Dalembert,Brandan Wright,
1,1,CLE,Anthony Bennett,Paul Millsap,Rodney Rogers,
2,2,ORL,Victor Oladipo,Andre Iguodala,Tony Allen,
3,3,WAS,Otto Porter,Tayshaun Prince,Tayshaun Prince,
4,4,CHA,Cody Zeller,Chris Bosh,LaMarcus Aldridge,
5,5,PHO,Alex Len,Brook Lopez,Jonas Valanciunas,
6,6,NOH,Nerlens Noel,Marcus Camby,Dikembe Mutombo*,
7,7,SAC,Ben McLemore,Ray Allen,Ray Allen,
8,8,DET,Kentavious Caldwell-Pope,J.R. Smith,Kerry Kittles,
9,9,MIN,Trey Burke,Chris Paul,Kemba Walker,
10,10,POR,C.J. McCollum,Stephen Curry,Stephen Curry,
11,11,PHI,Michael Carter-Williams,Anfernee Hardaway,Marcus Williams,
12,12,OKC,Steven Adams,Brendan Haywood,Byron Mullens,
13,13,DAL,Kelly Olynyk,Brook Lopez,Spencer Hawes,
14,14,UTA,Shabazz Muhammad,Michael Redd,Nick Young,
1,1,CLE,Andrew Wiggins,Dominique Wilkins*,Vince Carter,
2,2,MIL,Jabari Parker,Paul Pierce,Carmelo Anthony,
3,3,PHI,Joel Embiid,Hakeem Olajuwon*,Tim Duncan,
4,4,ORL,Aaron Gordon,Shawn Marion,Kenneth Faried,
5,5,UTA,Dante Exum,Anfernee Hardaway,Anfernee Hardaway,
6,6,BOS,Marcus Smart,Jarrett Jack,Dwyane Wade,
7,7,LAL,Julius Randle,Zach Randolph,David Lee,
8,8,SAC,Nik Stauskas,Klay Thompson,Jason Kapono,
9,9,CHH,Noah Vonleh,Chris Bosh,Wayman Tisdale,
10,10,PHI,Elfrid Payton,Rajon Rondo,Devin Harris,
11,11,DEN,Doug McDermott,Tracy Murray,Wally Szczerbiak,
12,12,ORL,Dario Saric,Lamar Odom,Boris Diaw,
13,13,MIN,Zach LaVine,Gerald Green,Russell Westbrook,
14,14,PHO,T.J. Warren,Trevor Ariza,Caron Butler,
1,1,MIN,Karl-Anthony Towns,LaMarcus Aldridge,Andrew Bogut,
2,2,LAL,D'Angelo Russell,Manu Ginobili,Anfernee Hardaway,
3,3,PHI,Jahlil Okafor,Al Jefferson,Brook Lopez,
4,4,NYK,Kristaps Porzingis,Dirk Nowitzki,Andrea Bargnani,
5,5,ORL,Mario Hezonja,Joe Johnson,Rex Chapman,
6,6,SAC,Willie Cauley-Stein,Tyson Chandler,Chris Andersen,
7,7,DEN,Emmanuel Mudiay,John Wall,John Wall,
8,8,DET,Stanley Johnson,Metta World,Kawhi Leonard,
9,9,CHO,Frank Kaminsky,Brad Miller,Nenad Krstic,
10,10,MIA,Justise Winslow,James Harden,James Harden,
11,11,IND,Myles Turner,Meyers Leonard,Raef LaFrentz,
12,12,UTA,Trey Lyles,Carlos Boozer,Carlos Boozer,
13,13,PHO,Devin Booker,Danny Green,Gordon Hayward,
14,14,OKC,Cameron Payne,Jarrett Jack,George Hill,
