Player,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,labels
A.C. Green,3.37,2.42,5.79,0.12,-0.51,0.42,-0.08,1.28,265.44,538.11,0.49,6.94,28.28,0.15,258.5,509.83,0.5,0.49,180.39,247.06,0.71,198.67,364.06,562.72,81.61,61.28,31.22,83.78,143.39,718.22,1
A.J. Bramlett,-0.2,0.1,-0.2,-0.13,-10.5,-6.3,-16.8,-0.2,4.0,21.0,0.19,0.0,0.0,0.0,4.0,21.0,0.19,0.19,0.0,0.0,0.68,12.0,10.0,22.0,0.0,1.0,0.0,3.0,13.0,8.0,3
A.J. English,-0.2,0.7,0.55,0.02,-2.25,-2.85,-5.1,-1.2,308.5,709.0,0.44,4.5,32.5,0.14,304.0,676.5,0.45,0.44,129.5,166.5,0.77,70.0,87.5,157.5,160.0,28.5,12.0,101.5,143.5,751.0,2
A.J. Guyton,0.1,-0.03,0.1,-0.14,-6.07,-4.93,-11.0,-0.33,55.33,146.67,0.26,24.33,64.33,0.26,31.0,82.33,0.25,0.31,12.33,15.0,0.81,7.33,19.33,26.67,49.0,6.67,4.0,20.67,19.33,147.33,3
A.J. Hammons,-0.2,0.2,0.0,-0.0,-7.5,1.9,-5.6,-0.1,17.0,42.0,0.4,5.0,10.0,0.5,12.0,32.0,0.38,0.46,9.0,20.0,0.45,8.0,28.0,36.0,4.0,1.0,13.0,10.0,21.0,48.0,0
A.J. Price,0.12,0.41,0.56,0.02,-1.51,-2.66,-4.14,-0.06,66.67,175.67,0.36,25.89,83.0,0.24,40.78,92.67,0.44,0.41,24.78,33.67,0.65,8.22,37.22,45.44,68.11,14.67,1.0,27.0,28.0,184.0,0
A.J. Wynder,-0.1,0.0,0.0,-0.05,-5.9,-3.5,-9.4,-0.1,3.0,12.0,0.25,0.0,1.0,0.0,3.0,11.0,0.27,0.25,6.0,8.0,0.75,1.0,2.0,3.0,8.0,1.0,0.0,4.0,1.0,12.0,3
A.W. Holt,-0.1,0.0,-0.1,-0.4,-1.8,0.1,-1.7,0.0,1.0,8.0,0.12,0.0,3.0,0.31,1.0,8.0,0.12,0.12,2.0,3.0,0.67,72.0,149.25,4.0,0.0,26.0,19.0,13.9,1.0,4.0,3
Aaron Brooks,0.87,0.66,1.55,0.05,-0.1,-2.47,-2.57,0.03,188.6,459.53,0.4,68.33,187.0,0.35,120.27,272.53,0.44,0.48,77.07,91.4,0.83,21.53,69.13,90.67,165.67,31.27,7.53,84.8,102.93,522.6,2
Aaron Gordon,1.83,1.53,3.37,0.09,-0.8,0.27,-0.57,0.8,253.33,550.67,0.46,44.0,152.33,0.29,209.33,398.33,0.52,0.5,109.67,157.0,0.7,105.33,255.0,360.33,103.67,48.0,39.0,64.33,136.0,660.33,2
